Name,Publisher,Year,Genre,Merketing_Cost,Critic_Score,Rating,Global_Sale
Monster Hunter Rise,Capcom,2022,Card Game,,88,M,11200000
The Anacrusis,Stray Bombay Company,2022,Shooter,,51,T,200000
God of War,PlayStation PC,2022,Action,,94,M,60000128
Rainbow Six Extraction,Ubisoft,2022,Action,,71,M,9000000
Windjammers 2,DotEmu,2022,Sports,,78,E,40688
Not For Broadcast,tinyBuild,2022,Simulation,,82,M,3000000
Pokemon Legends: Arceus,Nintendo,2022,Role-Playing,,32,E,12009999
Uncharted: Legacy of Thieves Collection,PlayStation PC,2022,Compilation,,87,T,41000000
Tom Clancy's Rainbow Six Extraction,Ubisoft,2022,Shooter,,73,E,10001597
The Waylanders,Gato Salvaje Studio,2022,Role-Playing,,51,M,150000
Dying Light 2 Stay Human,Techland,2022,Action,,76,M,5003215
Sifu,Sloclap,2022,Action,,81,M,1203152
OlliOlli World,Private Division,2022,Action,,84,E,5003125
Know By Heart,Ice-pick Lodge,2022,Adventure,,65,T,84577
Oddworld: Stranger's Wrath HD,Oddworld Inhabitants,2022,Action,,88,T,1600025
Lost Ark,Atari,2022,Action,,55,E,1500245
Dynasty Warriors 9 Empires,Koei Tecmo Games,2022,Action,,61,T,280000
King of Fighters XV,SNK Corporation,2022,Fighting,,79,T,9062
Total War: Warhammer III,Sega,2022,Strategy,,85,T,40400152
Horizon Forbidden West,Sony Interactive Entertainment,2022,Action,,88,T,20001522
Destiny 2: The Witch Queen,Bungie Software,2022,Shooter,,85,T,1000099
Monark,FuRyu,2022,Role-Playing,,66,T,200000
Martha is Dead,Wired Productions,2022,Adventure,,73,M,5313
Elden Ring,Bandai Namco Games,2022,Role-Playing,,96,M,17500299
GRID Legends,Electronic Arts,2022,Racing,,77,E,39270
Elex II,THQ,2022,Role-Playing,162628.5,64,M,100000
Shadow Warrior 3,Devolver Digital,2022,Action,,71,M,118500
Babylon's Fall,Square Enix,2022,Action,,41,T,112023
Gran Turismo 7,PlayStation Studios,2022,Racing,,87,E,198000
Triangle Strategy,Nintendo,2022,Strategy,,83,T,1000010
SpellForce III Reforced,THQ Nordic,2022,Strategy,,73,M,85821
Chocobo GP,Square Enix,2022,Racing,,63,E,12414
Assassin's Creed Valhalla,Ubisoft,2022,Adventure,,80,M,20001310
Distant Worlds 2,Slitherine,2022,Strategy,,77,M,84664
WWE 2K22,2K Games,2022,Fighting,,77,T,50000
Grand Theft Auto V,Rockstar Games,2022,Open-World,,97,M,170000000
Tunic,Finji,2022,Adventure,,85,E,85055
Persona 4 Arena Ultimax,ATLUS,2022,Fighting,,84,T,12684
Stranger of Paradise Final Fantasy Origin,Square Enix,2022,Action,,72,M,17905
Rune Factory 5,Xseed Games,2022,Action,,68,T,500000
GhostWire: Tokyo,Bethesda Softworks,2022,Adventure,,75,T,13996
Kirby and the Forgotten Land,Nintendo,2022,Action,,85,T,5270000
Tiny Tina's Wonderlands,2K Games,2022,Action,,78,T,243210
Agent Intercept,PikPok,2022,Racing,,76,E,27561
Lost Ark,Amazon Game Studios,2022,MMO,,81,M,1500000
Weird West,Devolver Digital,2022,Action,,76,M,401000
Shatter Remastered Deluxe,Netflix,2022,Arcade,,86,E,236520
Marvel's Iron Man VR,Oculus Studios,2022,Flight,,73,T,5000529
Harvestella,Square Enix,2022,Action,,73,T,26466
It Takes Two,Electronic Arts,2022,Action,,88,T,5000419
Terracotta,Freedom! Games,2022,Action,,70,T,22113
A Little to the Left,Secret Mode,2022,Puzzle,,76,E,1249341
Sifu,Maximum Games,2022,Action,,71,M,1645217
Sonic Frontiers,Sega,2022,Action,,94,E,2500124
God of War Ragnarok,PlayStation Studios,2022,Action,,76,M,5100000
Rogue Legacy 2,Cellar Door Games,2022,Role-Playing,,79,E,2001264
Among Us VR,Limited Run Games,2022,Action,,87,E,54354
Tactics Ogre Reborn,Square Enix,2022,Strategy,,65,T,36783
Valkyrie Elysium,Xbox Game Studios,2022,Action,,86,T,40362
Goat Simulator 3,Animal Uprising,2022,Simulation,,68,T,1302531
The Dark Pictures Anthology: The Devil in Me,The Pokemon Company,2022,Adventure,,70,M,23000427
Pokemon Scarlet and Viole,Focus Entertainment,2022,Management,,72,E,10021256
World of Warcraft: Dragonflight,Vivendi Games,2022,Action,,93,T,3700179
Soccer Story,No More Robots,2022,Role-Playing,,65,E,3216240
Inscryption,Devolver Digital,2022,Card Game,,85,M,1462231
The Walking Dead: Saints & Sinners Ch 2: Retribution,Skydance Interactive,2022,Shooter,,81,M,5500012
Need for Speed Unbound,Electronic Arts,2022,Arcade,,77,E,150000005
The Callisto Protocol,KRAFTON Inc,2022,Adventure,,69,M,33622251
Marvel's Midnight Suns,2K GamesTake-Two Interactive,2022,Strategy,,83,T,5000000
Dwarf Fortress,Bay 12 GamesKitfox Games,2022,Management,,93,E,500000
Crossfire: Legion,Prime Matter,2022,Real-Time,,64,T,10073
Dragon Quest Treasures,Square Enix,2022,Role-Playing,,73,E,5511110
High on Life,Squanch Games,2022,Shooter,,67,M,25000999
Crisis Core: Final Fantasy VII Reunion,Square Enix,2022,Action,,83,T,3963266
Romancing SaGa - Minstrel Song Remastered,Square Enix,2022,Role-Playing,,83,T,500000